# House model data - model_355_f6 (Ref: N.A. "Model Data for Assignment". Piazza, May 23, 2020. https://piazza.com/class/k74j7ie5eo75vt?cid=355_f6)
Residents:3
Fridge:60:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fridge:70:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fridge:50:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fridge:100:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freezer:30:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Microwave:900:0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0
Oven:1000:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rangehood:150:0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0
PressureCooker:1200:0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
WashingMachine:300:0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EvaporativeAircon:1800:0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,0.5,0,0,0,0,0,0
Computer:350:0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5
Computer:250:0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
SpeakerSystem:50:0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
NAS:150:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Networking:25:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TV:75:1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
TV:140:0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,0,0
HomeEntertainment:100:1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Lights:60:0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.75,0.75,0.75,0.5
